xThreads,yThreads,time
1,1,102.133
1,2,58.788
1,4,38.575
1,8,32.482
1,16,30.186
1,32,29.126
1,64,29.029
1,128,29.163
1,256,29.384
1,512,29.603
1,1024,0.003
2,1,51.393
2,2,29.659
2,4,19.478
2,8,16.474
2,16,15.377
2,32,15.191
2,64,15.174
2,128,15.337
2,256,15.606
2,512,15.576
4,1,26.098
4,2,15.105
4,4,9.961
4,8,8.489
4,16,8.261
4,32,8.206
4,64,8.339
4,128,8.217
4,256,8.399
8,1,13.456
8,2,7.989
8,4,5.176
8,8,4.819
8,16,4.790
8,32,4.818
8,64,4.868
8,128,4.848
16,1,7.212
16,2,4.225
16,4,3.073
16,8,3.081
16,16,3.128
16,32,3.147
16,64,3.038
32,1,3.875
32,2,2.535
32,4,2.460
32,8,2.475
32,16,2.515
32,32,2.553
64,1,2.523
64,2,2.486
64,4,2.514
64,8,2.522
64,16,2.649
128,1,2.518
128,2,2.548
128,4,2.505
128,8,2.587
256,1,2.562
256,2,2.535
256,4,2.541
512,1,2.600
512,2,2.552
1024,1,0.003
1,1,102.094
1,2,58.729
1,4,38.526
1,8,32.469
1,16,30.156
1,32,29.093
1,64,29.143
1,128,29.233
1,256,29.304
1,512,29.627
1,1024,0.003
2,1,51.347
2,2,29.679
2,4,19.473
2,8,16.482
2,16,15.351
2,32,15.143
2,64,15.273
2,128,15.299
2,256,15.548
2,512,15.504
4,1,26.005
4,2,15.115
4,4,9.938
4,8,8.442
4,16,8.170
4,32,8.248
4,64,8.191
4,128,8.372
4,256,8.428
8,1,13.385
8,2,7.902
8,4,5.186
8,8,4.779
8,16,4.834
8,32,4.779
8,64,4.837
8,128,4.974
16,1,7.288
16,2,4.230
16,4,3.092
16,8,3.102
16,16,3.066
16,32,3.134
16,64,3.044
32,1,3.880
32,2,2.512
32,4,2.463
32,8,2.517
32,16,2.516
32,32,2.552
64,1,2.508
64,2,2.461
64,4,2.479
64,8,2.501
64,16,2.545
128,1,2.580
128,2,2.716
128,4,2.606
128,8,2.601
256,1,2.588
256,2,2.665
256,4,2.648
512,1,2.624
512,2,2.609
1024,1,0.002
1,1,102.071
1,2,58.710
1,4,38.619
1,8,32.432
1,16,30.200
1,32,29.180
1,64,28.992
1,128,29.142
1,256,29.589
1,512,29.650
1,1024,0.002
2,1,51.371
2,2,29.613
2,4,19.473
2,8,16.476
2,16,15.347
2,32,15.059
2,64,15.135
2,128,15.488
2,256,15.519
2,512,15.496
4,1,25.993
4,2,15.197
4,4,9.933
4,8,8.477
4,16,8.181
4,32,8.281
4,64,8.293
4,128,8.393
4,256,8.441
8,1,13.414
8,2,7.859
8,4,5.170
8,8,4.815
8,16,4.810
8,32,4.842
8,64,4.947
8,128,4.911
16,1,7.178
16,2,4.208
16,4,3.101
16,8,3.065
16,16,3.097
16,32,3.120
16,64,3.044
32,1,3.882
32,2,2.512
32,4,2.469
32,8,2.496
32,16,2.514
32,32,2.537
64,1,2.508
64,2,2.465
64,4,2.479
64,8,2.496
64,16,2.537
128,1,2.468
128,2,2.627
128,4,2.561
128,8,2.621
256,1,2.555
256,2,2.698
256,4,2.564
512,1,2.599
512,2,2.650
1024,1,0.002
1,1,102.144
1,2,58.730
1,4,38.468
1,8,32.458
1,16,30.170
1,32,29.112
1,64,28.918
1,128,29.257
1,256,29.352
1,512,29.624
1,1024,0.002
2,1,51.365
2,2,29.660
2,4,19.471
2,8,16.539
2,16,15.373
2,32,15.116
2,64,15.154
2,128,15.357
2,256,15.272
2,512,15.541
4,1,25.999
4,2,15.081
4,4,10.008
4,8,8.455
4,16,8.211
4,32,8.358
4,64,8.317
4,128,8.232
4,256,8.383
8,1,13.413
8,2,7.823
8,4,5.186
8,8,4.784
8,16,4.909
8,32,4.917
8,64,5.016
8,128,4.835
16,1,7.153
16,2,4.207
16,4,3.104
16,8,3.080
16,16,3.088
16,32,3.048
16,64,3.042
32,1,3.855
32,2,2.532
32,4,2.487
32,8,2.485
32,16,2.515
32,32,2.557
64,1,2.511
64,2,2.491
64,4,2.495
64,8,2.512
64,16,2.546
128,1,2.493
128,2,2.502
128,4,2.477
128,8,2.507
256,1,2.656
256,2,2.579
256,4,2.590
512,1,2.582
512,2,2.612
1024,1,0.002
1,1,102.131
1,2,58.704
1,4,38.664
1,8,32.467
1,16,30.183
1,32,29.067
1,64,29.048
1,128,29.019
1,256,29.223
1,512,29.618
1,1024,0.002
2,1,51.375
2,2,29.750
2,4,19.475
2,8,16.465
2,16,15.386
2,32,15.094
2,64,15.186
2,128,15.316
2,256,15.261
2,512,15.586
4,1,26.026
4,2,15.084
4,4,10.018
4,8,8.453
4,16,8.172
4,32,8.250
4,64,8.291
4,128,8.429
4,256,8.407
8,1,13.410
8,2,7.831
8,4,5.199
8,8,4.784
8,16,4.804
8,32,4.885
8,64,4.808
8,128,4.978
16,1,7.146
16,2,4.206
16,4,3.094
16,8,3.092
16,16,3.090
16,32,3.114
16,64,3.052
32,1,3.876
32,2,2.508
32,4,2.461
32,8,2.493
32,16,2.513
32,32,2.554
64,1,2.534
64,2,2.497
64,4,2.502
64,8,2.512
64,16,2.544
128,1,2.494
128,2,2.514
128,4,2.540
128,8,2.531
256,1,2.503
256,2,2.555
256,4,2.568
512,1,2.666
512,2,2.683
1024,1,0.003
1,1,102.138
1,2,58.732
1,4,38.510
1,8,32.444
1,16,30.196
1,32,29.077
1,64,29.059
1,128,29.155
1,256,29.629
1,512,29.577
1,1024,0.002
2,1,51.362
2,2,29.664
2,4,19.456
2,8,16.443
2,16,15.359
2,32,15.143
2,64,15.224
2,128,15.542
2,256,15.553
2,512,15.498
4,1,26.002
4,2,15.066
4,4,9.992
4,8,8.452
4,16,8.175
4,32,8.247
4,64,8.295
4,128,8.202
4,256,8.385
8,1,13.413
8,2,7.820
8,4,5.174
8,8,4.801
8,16,4.820
8,32,4.837
8,64,4.943
8,128,5.003
16,1,7.173
16,2,4.213
16,4,3.092
16,8,3.087
16,16,3.068
16,32,3.119
16,64,3.066
32,1,3.851
32,2,2.529
32,4,2.482
32,8,2.493
32,16,2.496
32,32,2.562
64,1,2.533
64,2,2.459
64,4,2.495
64,8,2.494
64,16,2.518
128,1,2.465
128,2,2.504
128,4,2.458
128,8,2.505
256,1,2.527
256,2,2.631
256,4,2.551
512,1,2.598
512,2,2.616
1024,1,0.002
1,1,102.125
1,2,58.732
1,4,38.582
1,8,32.463
1,16,30.162
1,32,29.101
1,64,28.917
1,128,29.116
1,256,29.300
1,512,29.606
1,1024,0.003
2,1,51.352
2,2,29.669
2,4,19.480
2,8,16.469
2,16,15.340
2,32,15.075
2,64,15.227
2,128,15.438
2,256,15.567
2,512,15.528
4,1,26.026
4,2,15.116
4,4,10.014
4,8,8.470
4,16,8.180
4,32,8.344
4,64,8.206
4,128,8.382
4,256,8.420
8,1,13.407
8,2,7.946
8,4,5.200
8,8,4.816
8,16,4.786
8,32,4.821
8,64,4.824
8,128,4.885
16,1,7.138
16,2,4.221
16,4,3.077
16,8,3.073
16,16,3.114
16,32,3.134
16,64,3.072
32,1,3.854
32,2,2.537
32,4,2.478
32,8,2.478
32,16,2.482
32,32,2.537
64,1,2.508
64,2,2.464
64,4,2.478
64,8,2.482
64,16,2.518
128,1,2.470
128,2,2.497
128,4,2.516
128,8,2.677
256,1,2.558
256,2,2.585
256,4,2.691
512,1,2.595
512,2,2.633
1024,1,0.002
1,1,102.067
1,2,58.712
1,4,38.627
1,8,32.478
1,16,30.199
1,32,29.114
1,64,29.005
1,128,28.999
1,256,29.203
1,512,29.798
1,1024,0.002
2,1,51.345
2,2,29.634
2,4,19.478
2,8,16.494
2,16,15.369
2,32,15.058
2,64,15.350
2,128,15.212
2,256,15.191
2,512,15.526
4,1,26.021
4,2,15.133
4,4,9.955
4,8,8.422
4,16,8.154
4,32,8.310
4,64,8.212
4,128,8.371
4,256,8.469
8,1,13.405
8,2,7.853
8,4,5.179
8,8,4.778
8,16,4.802
8,32,4.836
8,64,4.866
8,128,4.906
16,1,7.176
16,2,4.235
16,4,3.075
16,8,3.084
16,16,3.120
16,32,3.118
16,64,3.069
32,1,3.853
32,2,2.537
32,4,2.477
32,8,2.471
32,16,2.499
32,32,2.540
64,1,2.533
64,2,2.458
64,4,2.501
64,8,2.490
64,16,2.613
128,1,2.610
128,2,2.679
128,4,2.590
128,8,2.586
256,1,2.570
256,2,2.557
256,4,2.564
512,1,2.602
512,2,2.612
1024,1,0.002
1,1,102.087
1,2,58.742
1,4,38.549
1,8,32.444
1,16,30.178
1,32,29.113
1,64,28.912
1,128,29.037
1,256,29.587
1,512,29.657
1,1024,0.002
2,1,51.354
2,2,29.630
2,4,19.471
2,8,16.469
2,16,15.357
2,32,15.057
2,64,15.365
2,128,15.387
2,256,15.496
2,512,15.506
4,1,26.017
4,2,15.135
4,4,9.962
4,8,8.473
4,16,8.180
4,32,8.314
4,64,8.213
4,128,8.391
4,256,8.435
8,1,13.392
8,2,7.862
8,4,5.175
8,8,4.789
8,16,4.804
8,32,4.773
8,64,4.799
8,128,4.887
16,1,7.236
16,2,4.236
16,4,3.075
16,8,3.082
16,16,3.129
16,32,3.121
16,64,3.040
32,1,3.876
32,2,2.514
32,4,2.459
32,8,2.472
32,16,2.505
32,32,2.572
64,1,2.530
64,2,2.489
64,4,2.498
64,8,2.618
64,16,2.590
128,1,2.541
128,2,2.548
128,4,2.537
128,8,2.582
256,1,2.560
256,2,2.587
256,4,2.565
512,1,2.511
512,2,2.562
1024,1,0.002
1,1,102.095
1,2,58.712
1,4,38.544
1,8,32.437
1,16,30.213
1,32,29.157
1,64,29.021
1,128,29.226
1,256,29.583
1,512,29.675
1,1024,0.002
2,1,51.373
2,2,29.612
2,4,19.460
2,8,16.466
2,16,15.376
2,32,15.091
2,64,15.216
2,128,15.376
2,256,15.502
2,512,15.504
4,1,26.002
4,2,15.116
4,4,9.934
4,8,8.558
4,16,8.175
4,32,8.189
4,64,8.298
4,128,8.358
4,256,8.433
8,1,13.376
8,2,7.884
8,4,5.210
8,8,4.799
8,16,4.788
8,32,4.801
8,64,4.870
8,128,4.835
16,1,7.213
16,2,4.212
16,4,3.097
16,8,3.063
16,16,3.076
16,32,3.142
16,64,3.042
32,1,3.880
32,2,2.508
32,4,2.460
32,8,2.504
32,16,2.522
32,32,2.544
64,1,2.693
64,2,2.632
64,4,2.557
64,8,2.575
64,16,2.596
128,1,2.542
128,2,2.556
128,4,2.556
128,8,2.557
256,1,2.577
256,2,2.549
256,4,2.539
512,1,2.533
512,2,2.589
1024,1,0.003
1,1,102.069
1,2,58.914
1,4,38.465
1,8,32.462
1,16,30.324
1,32,29.246
1,64,28.841
1,128,29.052
1,256,29.658
1,512,29.676
1,1024,0.002
2,1,51.370
2,2,29.610
2,4,19.468
2,8,16.489
2,16,15.363
2,32,15.108
2,64,15.311
2,128,15.347
2,256,15.549
2,512,15.525
4,1,26.020
4,2,15.112
4,4,9.938
4,8,8.532
4,16,8.196
4,32,8.218
4,64,8.258
4,128,8.205
4,256,8.349
8,1,13.398
8,2,7.867
8,4,5.173
8,8,4.786
8,16,4.816
8,32,4.833
8,64,4.772
8,128,4.834
16,1,7.199
16,2,4.211
16,4,3.095
16,8,3.073
16,16,3.055
16,32,3.118
16,64,3.046
32,1,3.882
32,2,2.510
32,4,2.472
32,8,2.489
32,16,2.496
32,32,2.560
64,1,2.650
64,2,2.613
64,4,2.562
64,8,2.568
64,16,2.602
128,1,2.539
128,2,2.558
128,4,2.547
128,8,2.706
256,1,2.564
256,2,2.499
256,4,2.514
512,1,2.509
512,2,2.578
1024,1,0.002
1,1,102.072
1,2,58.781
1,4,38.474
1,8,32.631
1,16,30.302
1,32,29.169
1,64,28.864
1,128,29.173
1,256,29.296
1,512,29.652
1,1024,0.002
2,1,51.360
2,2,29.634
2,4,19.452
2,8,16.470
2,16,15.342
2,32,15.136
2,64,15.372
2,128,15.319
2,256,15.140
2,512,15.464
4,1,25.999
4,2,15.075
4,4,9.961
4,8,8.496
4,16,8.176
4,32,8.216
4,64,8.247
4,128,8.382
4,256,8.344
8,1,13.430
8,2,7.843
8,4,5.396
8,8,4.806
8,16,4.820
8,32,4.800
8,64,4.896
8,128,4.835
16,1,7.190
16,2,4.273
16,4,3.081
16,8,3.105
16,16,3.091
16,32,3.122
16,64,3.062
32,1,3.869
32,2,2.531
32,4,2.460
32,8,2.473
32,16,2.524
32,32,2.703
64,1,2.588
64,2,2.515
64,4,2.554
64,8,2.544
64,16,2.570
128,1,2.521
128,2,2.528
128,4,2.565
128,8,2.625
256,1,2.508
256,2,2.524
256,4,2.515
512,1,2.547
512,2,2.558
1024,1,0.002
1,1,102.071
1,2,58.790
1,4,38.470
1,8,32.522
1,16,30.270
1,32,29.131
1,64,28.825
1,128,29.006
1,256,29.682
1,512,29.608
1,1024,0.002
2,1,51.373
2,2,29.611
2,4,19.482
2,8,16.484
2,16,15.370
2,32,15.204
2,64,15.185
2,128,15.310
2,256,15.549
2,512,15.533
4,1,25.995
4,2,15.074
4,4,9.956
4,8,8.498
4,16,8.165
4,32,8.193
4,64,8.276
4,128,8.384
4,256,8.387
8,1,13.431
8,2,7.835
8,4,5.246
8,8,4.804
8,16,4.789
8,32,4.795
8,64,4.866
8,128,4.834
16,1,7.139
16,2,4.269
16,4,3.100
16,8,3.104
16,16,3.233
16,32,3.145
16,64,3.064
32,1,3.850
32,2,2.534
32,4,2.480
32,8,2.656
32,16,2.572
32,32,2.610
64,1,2.580
64,2,2.544
64,4,2.520
64,8,2.544
64,16,2.591
128,1,2.547
128,2,2.546
128,4,2.534
128,8,2.523
256,1,2.509
256,2,2.486
256,4,2.533
512,1,2.535
512,2,2.582
1024,1,0.002
1,1,102.071
1,2,58.766
1,4,38.485
1,8,32.511
1,16,30.266
1,32,29.171
1,64,28.857
1,128,29.207
1,256,29.676
1,512,29.714
1,1024,0.002
2,1,51.357
2,2,29.632
2,4,19.477
2,8,16.447
2,16,15.378
2,32,15.133
2,64,15.286
2,128,15.353
2,256,15.524
2,512,15.508
4,1,26.021
4,2,15.065
4,4,9.931
4,8,8.528
4,16,8.192
4,32,8.208
4,64,8.261
4,128,8.366
4,256,8.371
8,1,13.430
8,2,7.826
8,4,5.242
8,8,4.811
8,16,4.789
8,32,4.836
8,64,4.891
8,128,4.835
16,1,7.147
16,2,4.271
16,4,3.254
16,8,3.227
16,16,3.545
16,32,3.141
16,64,3.054
32,1,3.863
32,2,2.512
32,4,2.459
32,8,2.504
32,16,2.569
32,32,2.618
64,1,2.582
64,2,2.540
64,4,2.529
64,8,2.571
64,16,2.595
128,1,2.544
128,2,2.559
128,4,2.476
128,8,2.500
256,1,2.504
256,2,2.558
256,4,2.538
512,1,2.536
512,2,2.590
1024,1,0.002
1,1,102.076
1,2,58.788
1,4,38.476
1,8,32.519
1,16,30.195
1,32,29.120
1,64,28.825
1,128,29.119
1,256,29.772
1,512,29.597
1,1024,0.003
2,1,51.369
2,2,29.615
2,4,19.450
2,8,16.464
2,16,15.357
2,32,15.173
2,64,15.406
2,128,15.217
2,256,15.529
2,512,15.509
4,1,26.139
4,2,15.085
4,4,9.957
4,8,8.496
4,16,8.180
4,32,8.267
4,64,8.272
4,128,8.371
4,256,8.413
8,1,13.458
8,2,7.829
8,4,5.254
8,8,4.787
8,16,4.815
8,32,4.853
8,64,4.872
8,128,4.835
16,1,7.143
16,2,4.283
16,4,3.124
16,8,3.158
16,16,3.168
16,32,3.128
16,64,3.275
32,1,3.963
32,2,2.534
32,4,2.600
32,8,2.545
32,16,2.578
32,32,2.614
64,1,2.563
64,2,2.543
64,4,2.627
64,8,2.558
64,16,2.590
128,1,2.543
128,2,2.467
128,4,2.476
128,8,2.532
256,1,2.532
256,2,2.493
256,4,2.513
512,1,2.529
512,2,2.563
1024,1,0.003
